1	.012370308	0x0b40	0x0000
2	1.529393363	0x0b5e	0x0000
3	3.043957632	0x0b7d	0x0000
4	4.557686336	0x0b9b	0x0000
5	6.071836765	0x0bba	0x0000
6	7.585177353	0x0bd8	0x0000
7	9.097358929	0x0bf7	0x0000
8	10.609614554	0x0c15	0x0000
9	12.123523669	0x0c34	0x0000
10	13.636498137	0x0c52	0x0000
11	15.151495731	0x0c71	0x0000
12	16.665410901	0x0c8f	0x0000
13	18.177603921	0x0cae	0x0000
14	19.692685864	0x0ccc	0x0000
15	21.205300592	0x0cea	0x0000
16	22.719792069	0x0d09	0x0000
17	24.236849374	0x0d27	0x0000
18	25.749288052	0x0d46	0x0000
19	27.262663798	0x0d64	0x0000
20	28.773495347	0x0d83	0x0000
21	30.285219566	0x0da1	0x0000
22	31.799703846	0x0dc0	0x0000
23	33.313550024	0x0dde	0x0000
24	34.828289249	0x0dfd	0x0000
25	36.341553508	0x0e1b	0x0000
26	37.855030576	0x0e3a	0x0000
27	39.369422642	0x0e58	0x0000
28	40.883222068	0x0e77	0x0000
29	42.396893161	0x0e95	0x0000
30	43.909231220	0x0eb4	0x0000
31	45.425194177	0x0ed3	0x0000
32	46.939395052	0x0ef1	0x0000
33	48.451450020	0x0f0f	0x0000
34	49.965245290	0x0f2e	0x0000
35	51.479424904	0x0f4c	0x0000
36	52.993365837	0x0f6b	0x0000
37	54.505885170	0x0f89	0x0000
38	56.017364374	0x0fa8	0x0000
39	57.531159341	0x0fc6	0x0000
40	59.045052446	0x0fe5	0x0000
