unit table cands ['0x23d84'] colony cands ['0x26986']
n=66 t=92 u1 x=33 y=28 ord=2 holds=0 cargo=110000 amt=[24, 24, 255, 0, 0, 0] | SD=93 VC=100 IS=251 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 10, 1, 8, 17]
n=72 t=100 u1 x=33 y=28 ord=2 holds=0 cargo=110000 amt=[24, 24, 255, 0, 0, 0] | SD=93 VC=100 IS=251 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 10, 1, 8, 17]
n=78 t=109 u1 x=33 y=28 ord=2 holds=0 cargo=110000 amt=[24, 24, 255, 0, 0, 0] | SD=93 VC=100 IS=251 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 10, 1, 8, 17]
n=84 t=117 u1 x=33 y=28 ord=2 holds=0 cargo=110000 amt=[24, 24, 255, 0, 0, 0] | SD=93 VC=100 IS=251 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 10, 1, 8, 17]
n=90 t=125 u1 x=33 y=28 ord=2 holds=0 cargo=110000 amt=[24, 24, 255, 0, 0, 0] | SD=93 VC=100 IS=251 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 10, 1, 8, 17]
n=96 t=134 u1 x=33 y=28 ord=2 holds=0 cargo=110000 amt=[24, 24, 255, 0, 0, 0] | SD=93 VC=100 IS=251 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 10, 1, 8, 17]
n=102 t=142 u1 x=36 y=29 ord=2 holds=1 cargo=130000 amt=[40, 24, 255, 0, 0, 0] | SD=124 VC=100 IS=212 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 2, 19, 19, 9, 1, 8, 17]
n=108 t=151 u1 x=36 y=29 ord=2 holds=1 cargo=130000 amt=[40, 24, 255, 0, 0, 0] | SD=124 VC=100 IS=212 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 2, 19, 19, 9, 1, 8, 17]
n=114 t=159 u1 x=36 y=29 ord=2 holds=1 cargo=130000 amt=[40, 24, 255, 0, 0, 0] | SD=124 VC=100 IS=212 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 2, 19, 19, 9, 1, 8, 17]
n=120 t=167 u1 x=36 y=29 ord=2 holds=1 cargo=130000 amt=[40, 24, 255, 0, 0, 0] | SD=124 VC=100 IS=212 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 2, 19, 19, 9, 1, 8, 17]
