unit table ['0x23d84'] colony table ['0x26986']
n=144 t=200 u1 x=36 y=29 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 2, 19, 19, 11, 1, 8, 17]
n=150 t=208 u1 x=36 y=29 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 2, 19, 19, 11, 1, 8, 17]
n=156 t=217 u1 x=39 y=28 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 11, 1, 8, 17]
n=162 t=225 u1 x=39 y=28 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 11, 1, 8, 17]
n=168 t=233 u1 x=39 y=28 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 11, 1, 8, 17]
n=174 t=241 u1 x=39 y=28 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 11, 1, 8, 17]
n=180 t=250 u1 x=39 y=28 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 11, 1, 8, 17]
n=186 t=258 u1 x=36 y=29 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 10, 1, 8, 17]
n=192 t=267 u1 x=36 y=29 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 10, 1, 8, 17]
n=198 t=275 u1 x=36 y=29 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 10, 1, 8, 17]
n=204 t=283 u1 x=36 y=29 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 10, 1, 8, 17]
n=210 t=291 u1 x=36 y=29 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 10, 1, 8, 17]
n=216 t=300 u1 x=39 y=28 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 9, 1, 8, 17]
n=222 t=308 u1 x=39 y=28 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 9, 1, 8, 17]
